sphere point: [-14.181575, -31.997874, 0.137685] | sphere dist: 69.213019 | 
sphere point: [-14.181575, -31.997874, 0.137685] | sphere dist: 69.213019 | 
sphere point: [-13.879142, -32.130212, 0.137417] | sphere dist: 69.022450 | 
sphere point: [-13.879142, -32.130212, 0.137417] | sphere dist: 69.022450 | 
sphere point: [-13.578619, -32.258368, 0.137158] | sphere dist: 68.837404 | 
sphere point: [-13.578619, -32.258368, 0.137158] | sphere dist: 68.837404 | 
sphere point: [-13.279929, -32.382476, 0.136906] | sphere dist: 68.657730 | 
sphere point: [-13.279929, -32.382476, 0.136906] | sphere dist: 68.657730 | 
sphere point: [-12.982998, -32.502663, 0.136663] | sphere dist: 68.483287 | 
sphere point: [-12.982998, -32.502663, 0.136663] | sphere dist: 68.483287 | 
sphere point: [-12.687757, -32.619047, 0.136427] | sphere dist: 68.313941 | 
sphere point: [-12.687757, -32.619047, 0.136427] | sphere dist: 68.313941 | 
sphere point: [-12.394138, -32.731740, 0.136199] | sphere dist: 68.149568 | 
sphere point: [-12.394138, -32.731740, 0.136199] | sphere dist: 68.149568 | 
sphere point: [-12.102079, -32.840847, 0.135978] | sphere dist: 67.990049 | 
sphere point: [-12.102079, -32.840847, 0.135978] | sphere dist: 67.990049 | 
sphere point: [-11.811517, -32.946466, 0.135765] | sphere dist: 67.835274 | 
sphere point: [-11.811517, -32.946466, 0.135765] | sphere dist: 67.835274 | 
sphere point: [-11.522395, -33.048692, 0.135558] | sphere dist: 67.685138 | 
sphere point: [-11.522395, -33.048692, 0.135558] | sphere dist: 67.685138 | 
sphere point: [-11.234656, -33.147612, 0.135357] | sphere dist: 67.539541 | 
sphere point: [-11.234656, -33.147612, 0.135357] | sphere dist: 67.539541 | 
sphere point: [-10.948247, -33.243309, 0.135164] | sphere dist: 67.398390 | 
sphere point: [-10.948247, -33.243309, 0.135164] | sphere dist: 67.398390 | 
sphere point: [-10.663115, -33.335863, 0.134976] | sphere dist: 67.261596 | 
sphere point: [-10.663115, -33.335863, 0.134976] | sphere dist: 67.261596 | 
sphere point: [-10.379212, -33.425346, 0.134795] | sphere dist: 67.129077 | 
sphere point: [-10.379212, -33.425346, 0.134795] | sphere dist: 67.129077 | 
sphere point: [-10.096489, -33.511830, 0.134620] | sphere dist: 67.000752 | 
sphere point: [-10.096489, -33.511830, 0.134620] | sphere dist: 67.000752 | 
sphere point: [-9.814901, -33.595381, 0.134451] | sphere dist: 66.876546 | 
sphere point: [-9.814901, -33.595381, 0.134451] | sphere dist: 66.876546 | 
sphere point: [-9.534401, -33.676062, 0.134287] | sphere dist: 66.756390 | 
sphere point: [-9.534401, -33.676062, 0.134287] | sphere dist: 66.756390 | 
sphere point: [-9.254947, -33.753933, 0.134130] | sphere dist: 66.640215 | 
sphere point: [-9.254947, -33.753933, 0.134130] | sphere dist: 66.640215 | 
sphere point: [-8.976498, -33.829049, 0.133978] | sphere dist: 66.527959 | 
sphere point: [-8.976498, -33.829049, 0.133978] | sphere dist: 66.527959 | 
sphere point: [-8.699012, -33.901464, 0.133831] | sphere dist: 66.419559 | 
sphere point: [-8.699012, -33.901464, 0.133831] | sphere dist: 66.419559 | 
sphere point: [-8.422451, -33.971230, 0.133690] | sphere dist: 66.314961 | 
sphere point: [-8.422451, -33.971230, 0.133690] | sphere dist: 66.314961 | 
sphere point: [-8.146777, -34.038393, 0.133554] | sphere dist: 66.214108 | 
sphere point: [-8.146777, -34.038393, 0.133554] | sphere dist: 66.214108 | 
sphere point: [-7.871952, -34.103000, 0.133423] | sphere dist: 66.116950 | 
sphere point: [-7.871952, -34.103000, 0.133423] | sphere dist: 66.116950 | 
sphere point: [-7.597940, -34.165092, 0.133297] | sphere dist: 66.023439 | 
sphere point: [-7.597940, -34.165092, 0.133297] | sphere dist: 66.023439 | 
sphere point: [-7.324706, -34.224712, 0.133176] | sphere dist: 65.933528 | 
sphere point: [-7.324706, -34.224712, 0.133176] | sphere dist: 65.933528 | 
sphere point: [-7.052217, -34.281898, 0.133061] | sphere dist: 65.847174 | 
sphere point: [-7.052217, -34.281898, 0.133061] | sphere dist: 65.847174 | 
sphere point: [-6.780438, -34.336686, 0.132950] | sphere dist: 65.764335 | 
sphere point: [-6.780438, -34.336686, 0.132950] | sphere dist: 65.764335 | 
sphere point: [-6.509337, -34.389110, 0.132844] | sphere dist: 65.684972 | 
sphere point: [-6.509337, -34.389110, 0.132844] | sphere dist: 65.684972 | 
sphere point: [-6.238883, -34.439203, 0.132742] | sphere dist: 65.609049 | 
sphere point: [-6.238883, -34.439203, 0.132742] | sphere dist: 65.609049 | 
sphere point: [-5.969044, -34.486996, 0.132645] | sphere dist: 65.536531 | 
sphere point: [-5.969044, -34.486996, 0.132645] | sphere dist: 65.536531 | 
sphere point: [-5.699790, -34.532518, 0.132553] | sphere dist: 65.467385 | 
sphere point: [-5.699790, -34.532518, 0.132553] | sphere dist: 65.467385 | 
sphere point: [-5.431091, -34.575797, 0.132466] | sphere dist: 65.401579 | 
sphere point: [-5.431091, -34.575797, 0.132466] | sphere dist: 65.401579 | 
sphere point: [-5.162917, -34.616857, 0.132382] | sphere dist: 65.339086 | 
sphere point: [-5.162917, -34.616857, 0.132382] | sphere dist: 65.339086 | 
sphere point: [-4.895241, -34.655723, 0.132304] | sphere dist: 65.279876 | 
sphere point: [-4.895241, -34.655723, 0.132304] | sphere dist: 65.279876 | 
sphere point: [-4.628033, -34.692417, 0.132230] | sphere dist: 65.223926 | 
sphere point: [-4.628033, -34.692417, 0.132230] | sphere dist: 65.223926 | 
sphere point: [-4.361265, -34.726962, 0.132160] | sphere dist: 65.171211 | 
sphere point: [-4.361265, -34.726962, 0.132160] | sphere dist: 65.171211 | 
sphere point: [-4.094912, -34.759376, 0.132094] | sphere dist: 65.121708 | 
sphere point: [-4.094912, -34.759376, 0.132094] | sphere dist: 65.121708 | 
sphere point: [-3.828945, -34.789679, 0.132033] | sphere dist: 65.075396 | 
sphere point: [-3.828945, -34.789679, 0.132033] | sphere dist: 65.075396 | 
sphere point: [-3.563338, -34.817886, 0.131975] | sphere dist: 65.032257 | 
sphere point: [-3.563338, -34.817886, 0.131975] | sphere dist: 65.032257 | 
sphere point: [-3.298064, -34.844015, 0.131923] | sphere dist: 64.992271 | 
sphere point: [-3.298064, -34.844015, 0.131923] | sphere dist: 64.992271 | 
sphere point: [-3.033098, -34.868079, 0.131874] | sphere dist: 64.955424 | 
sphere point: [-3.033098, -34.868079, 0.131874] | sphere dist: 64.955424 | 
sphere point: [-2.768415, -34.890092, 0.131829] | sphere dist: 64.921699 | 
sphere point: [-2.768415, -34.890092, 0.131829] | sphere dist: 64.921699 | 
sphere point: [-2.503988, -34.910066, 0.131789] | sphere dist: 64.891083 | 
sphere point: [-2.503988, -34.910066, 0.131789] | sphere dist: 64.891083 | 
sphere point: [-2.239792, -34.928011, 0.131752] | sphere dist: 64.863563 | 
sphere point: [-2.239792, -34.928011, 0.131752] | sphere dist: 64.863563 | 
sphere point: [-1.975804, -34.943939, 0.131720] | sphere dist: 64.839129 | 
sphere point: [-1.975804, -34.943939, 0.131720] | sphere dist: 64.839129 | 
sphere point: [-1.711997, -34.957856, 0.131692] | sphere dist: 64.817770 | 
sphere point: [-1.711997, -34.957856, 0.131692] | sphere dist: 64.817770 | 
sphere point: [-1.448347, -34.969772, 0.131668] | sphere dist: 64.799478 | 
sphere point: [-1.448347, -34.969772, 0.131668] | sphere dist: 64.799478 | 
sphere point: [-1.184831, -34.979692, 0.131648] | sphere dist: 64.784246 | 
sphere point: [-1.184831, -34.979692, 0.131648] | sphere dist: 64.784246 | 
sphere point: [-0.921423, -34.987621, 0.131632] | sphere dist: 64.772068 | 
sphere point: [-0.921423, -34.987621, 0.131632] | sphere dist: 64.772068 | 
sphere point: [-0.658099, -34.993565, 0.131620] | sphere dist: 64.762938 | 
sphere point: [-0.658099, -34.993565, 0.131620] | sphere dist: 64.762938 | 
sphere point: [-0.394835, -34.997525, 0.131612] | sphere dist: 64.756854 | 
sphere point: [-0.394835, -34.997525, 0.131612] | sphere dist: 64.756854 | 
sphere point: [-0.131608, -34.999505, 0.131608] | sphere dist: 64.753812 | 
sphere point: [-0.131608, -34.999505, 0.131608] | sphere dist: 64.753812 | 
sphere point: [0.131608, -34.999505, 0.131608] | sphere dist: 64.753812 | 
sphere point: [0.131608, -34.999505, 0.131608] | sphere dist: 64.753812 | 
sphere point: [-31.112871, -16.029984, -0.170016] | sphere dist: 89.285533 | 
sphere point: [-31.112871, -16.029984, -0.170016] | sphere dist: 89.285533 | 
sphere point: [-30.106183, -17.849091, -0.166333] | sphere dist: 87.230887 | 
sphere point: [-30.106183, -17.849091, -0.166333] | sphere dist: 87.230887 | 
sphere point: [-29.309667, -19.128947, -0.163741] | sphere dist: 85.755998 | 
sphere point: [-29.309667, -19.128947, -0.163741] | sphere dist: 85.755998 | 
sphere point: [-28.615164, -20.153070, -0.161668] | sphere dist: 84.557399 | 
sphere point: [-28.615164, -20.153070, -0.161668] | sphere dist: 84.557399 | 
sphere point: [-27.984762, -21.019694, -0.159913] | sphere dist: 83.529781 | 
sphere point: [-27.984762, -21.019694, -0.159913] | sphere dist: 83.529781 | 
sphere point: [-27.399737, -21.776807, -0.158380] | sphere dist: 82.621624 | 
sphere point: [-27.399737, -21.776807, -0.158380] | sphere dist: 82.621624 | 
sphere point: [-26.849166, -22.452118, -0.157013] | sphere dist: 81.803134 | 
sphere point: [-26.849166, -22.452118, -0.157013] | sphere dist: 81.803134 | 
sphere point: [-26.325994, -23.063343, -0.155775] | sphere dist: 81.055238 | 
sphere point: [-26.325994, -23.063343, -0.155775] | sphere dist: 81.055238 | 
sphere point: [-25.825337, -23.622617, -0.154643] | sphere dist: 80.364849 | 
sphere point: [-25.825337, -23.622617, -0.154643] | sphere dist: 80.364849 | 
