cyl point: [-8.291256, -34.999753, -0.131607] | cyl dist: 65.278102 
cyl point: [-8.028041, -34.999753, -0.131607] | cyl dist: 65.245442 
cyl point: [-8.028041, -34.999753, -0.131607] | cyl dist: 65.245442 
cyl point: [-7.764827, -34.999753, -0.131607] | cyl dist: 65.213820 
cyl point: [-7.764827, -34.999753, -0.131607] | cyl dist: 65.213820 
cyl point: [-7.501612, -34.999753, -0.131607] | cyl dist: 65.183237 
cyl point: [-7.501612, -34.999753, -0.131607] | cyl dist: 65.183237 
cyl point: [-7.238398, -34.999753, -0.131607] | cyl dist: 65.153696 
cyl point: [-7.238398, -34.999753, -0.131607] | cyl dist: 65.153696 
cyl point: [-6.975183, -34.999753, -0.131607] | cyl dist: 65.125196 
cyl point: [-6.975183, -34.999753, -0.131607] | cyl dist: 65.125196 
cyl point: [-6.711969, -34.999753, -0.131607] | cyl dist: 65.097741 
cyl point: [-6.711969, -34.999753, -0.131607] | cyl dist: 65.097741 
cyl point: [-6.448755, -34.999753, -0.131607] | cyl dist: 65.071330 
cyl point: [-6.448755, -34.999753, -0.131607] | cyl dist: 65.071330 
cyl point: [-6.185540, -34.999753, -0.131607] | cyl dist: 65.045966 
cyl point: [-6.185540, -34.999753, -0.131607] | cyl dist: 65.045966 
cyl point: [-5.922326, -34.999753, -0.131607] | cyl dist: 65.021650 
cyl point: [-5.922326, -34.999753, -0.131607] | cyl dist: 65.021650 
cyl point: [-5.659111, -34.999753, -0.131607] | cyl dist: 64.998382 
cyl point: [-5.659111, -34.999753, -0.131607] | cyl dist: 64.998382 
cyl point: [-5.395897, -34.999753, -0.131607] | cyl dist: 64.976164 
cyl point: [-5.395897, -34.999753, -0.131607] | cyl dist: 64.976164 
cyl point: [-5.132682, -34.999753, -0.131607] | cyl dist: 64.954997 
cyl point: [-5.132682, -34.999753, -0.131607] | cyl dist: 64.954997 
cyl point: [-4.869468, -34.999753, -0.131607] | cyl dist: 64.934882 
cyl point: [-4.869468, -34.999753, -0.131607] | cyl dist: 64.934882 
cyl point: [-4.606253, -34.999753, -0.131607] | cyl dist: 64.915820 
cyl point: [-4.606253, -34.999753, -0.131607] | cyl dist: 64.915820 
cyl point: [-4.343039, -34.999753, -0.131607] | cyl dist: 64.897811 
cyl point: [-4.343039, -34.999753, -0.131607] | cyl dist: 64.897811 
cyl point: [-4.079824, -34.999753, -0.131607] | cyl dist: 64.880858 
cyl point: [-4.079824, -34.999753, -0.131607] | cyl dist: 64.880858 
cyl point: [-3.816610, -34.999753, -0.131607] | cyl dist: 64.864960 
cyl point: [-3.816610, -34.999753, -0.131607] | cyl dist: 64.864960 
cyl point: [-3.553395, -34.999753, -0.131607] | cyl dist: 64.850118 
cyl point: [-3.553395, -34.999753, -0.131607] | cyl dist: 64.850118 
cyl point: [-3.290181, -34.999753, -0.131607] | cyl dist: 64.836334 
cyl point: [-3.290181, -34.999753, -0.131607] | cyl dist: 64.836334 
cyl point: [-3.026966, -34.999753, -0.131607] | cyl dist: 64.823607 
cyl point: [-3.026966, -34.999753, -0.131607] | cyl dist: 64.823607 
cyl point: [-2.763752, -34.999753, -0.131607] | cyl dist: 64.811939 
cyl point: [-2.763752, -34.999753, -0.131607] | cyl dist: 64.811939 
cyl point: [-2.500537, -34.999753, -0.131607] | cyl dist: 64.801329 
cyl point: [-2.500537, -34.999753, -0.131607] | cyl dist: 64.801329 
cyl point: [-2.237323, -34.999753, -0.131607] | cyl dist: 64.791779 
cyl point: [-2.237323, -34.999753, -0.131607] | cyl dist: 64.791779 
cyl point: [-1.974109, -34.999753, -0.131607] | cyl dist: 64.783289 
cyl point: [-1.974109, -34.999753, -0.131607] | cyl dist: 64.783289 
cyl point: [-1.710894, -34.999753, -0.131607] | cyl dist: 64.775859 
cyl point: [-1.710894, -34.999753, -0.131607] | cyl dist: 64.775859 
cyl point: [-1.447680, -34.999753, -0.131607] | cyl dist: 64.769490 
cyl point: [-1.447680, -34.999753, -0.131607] | cyl dist: 64.769490 
cyl point: [-1.184465, -34.999753, -0.131607] | cyl dist: 64.764182 
cyl point: [-1.184465, -34.999753, -0.131607] | cyl dist: 64.764182 
cyl point: [-0.921251, -34.999753, -0.131607] | cyl dist: 64.759936 
cyl point: [-0.921251, -34.999753, -0.131607] | cyl dist: 64.759936 
cyl point: [-0.658036, -34.999753, -0.131607] | cyl dist: 64.756750 
cyl point: [-0.658036, -34.999753, -0.131607] | cyl dist: 64.756750 
cyl point: [-0.394822, -34.999753, -0.131607] | cyl dist: 64.754627 
cyl point: [-0.394822, -34.999753, -0.131607] | cyl dist: 64.754627 
cyl point: [-0.131607, -34.999753, -0.131607] | cyl dist: 64.753565 
cyl point: [-0.131607, -34.999753, -0.131607] | cyl dist: 64.753565 
cyl point: [0.131607, -34.999753, -0.131607] | cyl dist: 64.753565 
cyl point: [0.131607, -34.999753, -0.131607] | cyl dist: 64.753565 
cyl point: [-17.241073, -34.997773, -0.394834] | cyl dist: 66.995531 
cyl point: [-17.241073, -34.997773, -0.394834] | cyl dist: 66.995531 
cyl point: [-16.977850, -34.997773, -0.394834] | cyl dist: 66.928785 
cyl point: [-16.977850, -34.997773, -0.394834] | cyl dist: 66.928785 
cyl point: [-16.714628, -34.997773, -0.394834] | cyl dist: 66.863001 
cyl point: [-16.714628, -34.997773, -0.394834] | cyl dist: 66.863001 
cyl point: [-16.451405, -34.997773, -0.394834] | cyl dist: 66.798182 
cyl point: [-16.451405, -34.997773, -0.394834] | cyl dist: 66.798182 
