# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 204.059942 | t->dist_cap: 200.293604 | clang!
dist infinite: 204.059942 | t->dist_cap: 200.293604 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 207.205886 | t->dist_cap: 200.277270 | clang!
dist infinite: 213.963387 | t->dist_cap: 200.244597 | clang!
dist infinite: 213.963387 | t->dist_cap: 200.244597 | clang!
dist infinite: 220.650019 | t->dist_cap: 200.215188 | clang!
dist infinite: 220.650019 | t->dist_cap: 200.215188 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 233.347279 | t->dist_cap: 200.166162 | clang!
dist infinite: 233.347279 | t->dist_cap: 200.166162 | clang!
dist infinite: 239.080641 | t->dist_cap: 200.146548 | clang!
dist infinite: 239.080641 | t->dist_cap: 200.146548 | clang!
dist infinite: 244.197076 | t->dist_cap: 200.130202 | clang!
dist infinite: 244.197076 | t->dist_cap: 200.130202 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 251.947978 | t->dist_cap: 200.107315 | clang!
dist infinite: 251.947978 | t->dist_cap: 200.107315 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 255.504432 | t->dist_cap: 200.097506 | clang!
dist infinite: 255.504432 | t->dist_cap: 200.097506 | clang!
dist infinite: 255.504432 | t->dist_cap: 200.097506 | clang!
dist infinite: 255.504432 | t->dist_cap: 200.097506 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 254.302205 | t->dist_cap: 200.100776 | clang!
dist infinite: 251.947978 | t->dist_cap: 200.107315 | clang!
dist infinite: 251.947978 | t->dist_cap: 200.107315 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 244.197076 | t->dist_cap: 200.130202 | clang!
dist infinite: 244.197076 | t->dist_cap: 200.130202 | clang!
dist infinite: 239.080641 | t->dist_cap: 200.146548 | clang!
dist infinite: 239.080641 | t->dist_cap: 200.146548 | clang!
dist infinite: 233.347279 | t->dist_cap: 200.166162 | clang!
dist infinite: 233.347279 | t->dist_cap: 200.166162 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 227.154774 | t->dist_cap: 200.189042 | clang!
dist infinite: 220.650019 | t->dist_cap: 200.215188 | clang!
dist infinite: 220.650019 | t->dist_cap: 200.215188 | clang!
dist infinite: 213.963387 | t->dist_cap: 200.244597 | clang!
dist infinite: 213.963387 | t->dist_cap: 200.244597 | clang!
